Faculty,Course,Enr,Course,Enr,Course,Enr,Course,Enr,Course,Enr,Course,Enr,Course,Enr,Course,Enr
Faculty 01,EGR 1201 01,35,EGR 1201 02,29,EGR 3331 01,30,EGR 3306 01,8,EGR 4300 01,17,EGR 4402 01,60,,,,
Faculty 02,CSC 3326 01,10,CSC 3326 01 L ,10,CSC 5345 01 ,3,,,,,,,,,,
Faculty 03,EGR 2311 01 ,25,EGR 2312 01,20,EGR 3301 01 ,31,,,,,,,,,,
Faculty 04,BIO 1400 01,32,BIO 1400 01 L,12,BIO 1400 02 L,14,BIO 1400 03 L,13,BIO 1400 05 L,11,,,,,,
Faculty 05,CSC 3315 01,35,CSC 5338 01,5,,,,,,,,,,,,
Faculty 06,MTH 1305 06,27,MTH 1311 01 ,19,MTH 3301 01 ,14,,,,,,,,,,
Faculty 07,CSC 1401 01 ,22,CSC 1401 02,23,CSC 1401 03,21,,,,,,,,,,
Faculty 08,CSC 1400 01,30,CSC 1400 05,25,CSC 1400 06,29,,,,,,,,,,
Faculty 09,EGR 3302 01,29,EGR 4399 01,10,PHY 1401 01,59,,,,,,,,,,
Faculty 10,BIO 1400 02,32,BIO 1400 04 L ,14,CHE 1400 01 L ,14,CHE 1400 02,30,SCI 1201 01,30,,,,,,
Faculty 11,CHE 1401 01,27,CHE 1401 01 L ,12,CHE 1401 02 L ,9,CHE 1402 01,1,SCI 2399 02,5,,,,,,
Faculty 12,CSC 2302 01 ,27,CSC 2302 012,24,CSC 3324 01,25,CSC 5372 01 ,6,,,,,,,,
Faculty 13,MTH 1304 01,30,MTH 1305 02,27,MTH 1305 04,23,MTH 1311 03 ,29,MTH 1311 034,29,,,,,,
Faculty 14,EGR 3304 01 ,31,PHY 1402 01,28,PHY 1402 02,28,SEM 5321 01,11,,,,,,,,
Faculty 15,EGR 2402 01,27,EGR 2402 01 L,13,EGR 2402 02 L,14,SEM 5323 01,9,,,,,,,,
Faculty 16,GBU 3311 05,33,GBU 3311 06,34,MTH 1312 01,17,MTH 2304 01 ,17,,,,,,,,
Faculty 17,EGR 1210 02,19,EGR 1210 03,17,PHY 1400 01 L ,12,PHY 1400 02 L ,13,,,,,,,,
Faculty 18,EGR 2301 01 ,27,PHY 1400 01,25,SEM 5325 01,13,,,,,,,,,,
Faculty 19,CSC 2303 01,6,CSC 2303 02,16,CSC 2304 01,23,,,,,,,,,,
Faculty 20,CHE 1400 03 L,15,CHE 1400 06 L,16,CHE 1401 02,30,CHE 1401 03 L,13,CHE 1401 04 L,12,CHE 1401 05 L,11,CHE 1402 01 L,1,SCI 4199 01,12
Faculty 21,CSC 3323 01,28,MTH 2303 01,32,MTH 2303 02,30, EGR 4303 01,10,,,,,,,,
Faculty 22,GBU 2301 04,33,GBU 2301 05,33,MTH 2301 01,23,MTH 2301 02,18,MTH 2301 03,22,,,,,,
Faculty 23,CSC 3355 01,12, CSC 4199 01,1,CSC 5355 01,1,CSC 5387 01,2,,,,,,,,
Faculty 24,MTH 1305 01,32, MTH 1305 03 ,33,MTH 1388 01,23,,,,,,,,,,
