,BIO 1401,WHEN TAKEN,CHE 1401,WHEN TAKEN,CHE 1402,WHEN TAKEN,PHY 1401,WHEN TAKEN,PHY 1402,WHEN TAKEN,SCI 2199,WHEN TAKEN,CSC 1401,WHEN TAKEN,CSC2302,WHEN TAKEN,CSC2303,WHEN TAKEN,CSC2304,WHEN TAKEN,CSC3309,WHEN TAKEN,CSC3315,WHEN TAKEN,CSC3323,WHEN TAKEN,CSC3324,WHEN TAKEN,CSC3325,WHEN TAKEN,CSC3326,WHEN TAKEN,CSC3327,WHEN TAKEN,csc3351,WHEN TAKEN,csc3352,WHEN TAKEN,csc3353,WHEN TAKEN,csc3355,WHEN TAKEN,csc3361,WHEN TAKEN,EGR 1201,WHEN TAKEN,EGR 1210 CAE,WHEN TAKEN,EGR 2301 Statics,WHEN TAKEN,EGR 2302 Econ,WHEN TAKEN,EGR 2311 Dynamics,WHEN TAKEN,EGR 2312 Mech Matls,WHEN TAKEN,EGR 2353 Environ,WHEN TAKEN,EGR 2402 Circuits,WHEN TAKEN,EGR 3301 Fluid Mech,WHEN TAKEN,EGR 3302 Thermo,WHEN TAKEN,EGR 3304 Materials,WHEN TAKEN,EGR 3306 Instrum,WHEN TAKEN,EGR 3331 Digital ,WHEN TAKEN,EGR 3401 Egr Stats,WHEN TAKEN,MTH 1304 Discrete,WHEN TAKEN,MTH 1311 Calc 1,WHEN TAKEN,MTH 1312 Calc 2,WHEN TAKEN,MTH 2301 Multivar,WHEN TAKEN,MTH 2303 Linear,WHEN TAKEN,MTH 2304 Diff Eqns,WHEN TAKEN,MTH 3301 Prob,WHEN TAKEN
Student020,NO,,NO,,NO,,NO,,NO,,DK,,NO,,NO,,P,-2,NO,,NO,,P,-2,P,-1,NO,,NO,,NO,,NO,,P,-1,NO,,NO,,NO,,NO,,DK,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,
Student018,NO,,A,-2,A+,-1,A+,-4,A-,-3,DK,,B-,-3,A-,-2,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,A-,-1,A+,-4,A,-3,A-,-2,TR,-1,DK,,DK,,DK,,A+,-2,DK,,DK,,B+,-2,DK,,NO,,A+,-5,A+,-4,A,-3,A,-2,A+,-1,NO,
Student017,NO,,A-,-1,DK,,A+,-4,B+,-3,DK,,B-,-2,C,-1,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,B+,-2,A,-4,A,-3,A,-2,B+,-1,DK,,DK,,DK,,B+,-2,DK,,DK,,A-,-1,DK,,NO,,A-,-5,A+,-4,A,-3,B+,-2,A+,-1,NO,
Student006,NO,,A,-2,B+,-1,B,-4,C+,-3,DK,,C+,-3,A,-2,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,DK,,B-,-3,A-,-4,A+,-3,C+,-2,B,-1,DK,,B,-2,B-,-1,C+,-2,TR,,NO,,C+,-1,B+,-1,B,-3,DK,-6,DK,,B,-3,B+,-2,A,-1,NO,
Student008,NO,,B,-1,NO,,B+,-4,TR,-3,DK,,A,-2,B-,-1,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,DK,,A,-2,B,-4,A,-3,B,-2,B,-1,B,-3,B,-2,NO,,A,-2,A-,-1,NO,,A-,-1,IP,0,B+,-2,DK,-6,DK,,B-,-3,B+,-2,A+,-1,NO,
Student013,NO,,<C,-1,NO,,A,-4,A-,-3,DK,,A-,-2,A,-1,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,A,-3,C+,-4,A,-3,B,-2,<C,-1,TR,,B+,-2,TR,,C,-2,C+,-1,B-,-1,C+,-2,A-,-1,A,-7,A+,-6,A+,-5,A-,-4,B+,-3,A,-2,NO,
Student002,NO,,C,-2,B,-1,B,-4,C+,-3,DK,,<C,-2,B,-1,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,NO,,B-,-4,B,-3,TR,-2,A,-1,NO,,NO,,A,,B-,-2,TR,,NO,,C,-1,A-,-1,NO,,DK,-6,DK,-4,C,-3,B+,-2,A-,-1,NO,
Student005,NO,,A,-1,NO,,A,-4,A,-3,DK,,C,-5,C,-4,B,-3,B+,-3,DK,,B+,-2,DK,,C,-1,DK,,DK,,DK,,B+,-2,A,-1,B+,-1,DK,,DK,,DK,,DK,,DK,,A,-3,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,A,-1,DK,,A,-2,DK,-6,DK,-3,B,-2,B,-1,NO,,NO,
Student012,A+,-5,NO,,NO,,B-,-4,B-,-3,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,B,-1,DK,,DK,,DK,,DK,,DK,,DK,,DK,,DK,,NO,,NO,,A,-2,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,B+,-1,NO,,B,-3,B,-3,B,-2,<C,-1,NO,,NO,,A,-1
Student021,NO,,NO,,NO,,NO,,NO,,DK,,DK,-3,P,-2,P,-1,NO,,NO,,NO,,NO,,NO,,NO,,P,-1,NO,,NO,,P,-1,P,-1,P,-1,NO,,DK,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,
